DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:03 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Mon Jun 10 23:55:03 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:03 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Mon Jun 10 23:55:03 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:03 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Mon Jun 10 23:55:03 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:03 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:03 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:03 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:03 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:03 2019
DEBUG ; Juego::Jugador 1 salta ; Mon Jun 10 23:55:04 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:04 2019
DEBUG ; Juego::Jugador 1 salta ; Mon Jun 10 23:55:04 2019
DEBUG ; Juego::Jugador 1 salta ; Mon Jun 10 23:55:04 2019
DEBUG ; Juego::Jugador 1 salta ; Mon Jun 10 23:55:04 2019
DEBUG ; Juego::Jugador 2 salta ; Mon Jun 10 23:55:05 2019
DEBUG ; Juego::Jugador 1 salta ; Mon Jun 10 23:55:05 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:06 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:06 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:06 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:06 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:06 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:06 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:06 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:06 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:06 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:06 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:06 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:06 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:06 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:06 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:06 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:06 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:06 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:06 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:06 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:06 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:06 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:07 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:07 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:07 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:07 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:07 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:07 2019
DEBUG ; Personaje::Personaje en el limite derecho. Se corre el oponente a la izquierda ; Mon Jun 10 23:55:07 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:07 2019
DEBUG ; Personaje::Personaje en el limite derecho. Se corre el oponente a la izquierda ; Mon Jun 10 23:55:07 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:07 2019
DEBUG ; Personaje::Personaje en el limite derecho. Se corre el oponente a la izquierda ; Mon Jun 10 23:55:07 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:07 2019
DEBUG ; Personaje::Personaje en el limite derecho. Se corre el oponente a la izquierda ; Mon Jun 10 23:55:07 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:07 2019
DEBUG ; Personaje::Personaje en el limite derecho. Se corre el oponente a la izquierda ; Mon Jun 10 23:55:07 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:07 2019
DEBUG ; Personaje::Personaje en el limite derecho. Se corre el oponente a la izquierda ; Mon Jun 10 23:55:07 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:07 2019
DEBUG ; Personaje::Personaje en el limite derecho. Se corre el oponente a la izquierda ; Mon Jun 10 23:55:07 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:07 2019
DEBUG ; Personaje::Personaje en el limite derecho. Se corre el oponente a la izquierda ; Mon Jun 10 23:55:07 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:07 2019
DEBUG ; Personaje::Personaje en el limite derecho. Se corre el oponente a la izquierda ; Mon Jun 10 23:55:07 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:07 2019
DEBUG ; Personaje::Personaje en el limite derecho. Se corre el oponente a la izquierda ; Mon Jun 10 23:55:07 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:07 2019
