Archivo de logging creado! ; Sun Apr  7 19:56:21 2019
DEBUG ; Jugador 1 a la derecha ; Sun Apr  7 19:56:39 2019
DEBUG ; Jugador 1 a la derecha ; Sun Apr  7 19:56:40 2019
DEBUG ; Jugador 1 a la derecha ; Sun Apr  7 19:56:40 2019
DEBUG ; Jugador 1 a la derecha ; Sun Apr  7 19:56:40 2019
DEBUG ; Jugador 1 a la derecha ; Sun Apr  7 19:56:40 2019
DEBUG ; Jugador 1 a la derecha ; Sun Apr  7 19:56:40 2019
DEBUG ; Jugador 1 a la derecha ; Sun Apr  7 19:56:40 2019
DEBUG ; Jugador 1 a la derecha ; Sun Apr  7 19:56:40 2019
DEBUG ; Jugador 1 a la derecha ; Sun Apr  7 19:56:40 2019
DEBUG ; Jugador 1 a la derecha ; Sun Apr  7 19:56:40 2019
DEBUG ; Jugador 1 a la derecha ; Sun Apr  7 19:56:40 2019
